Order_ID,Order_Date,Customer_ID,Customer_Name,Region,Segment,Category,Sub_Category,Product_Name,Sales,Profit,Quantity,Discount,Shipping_Cost,Payment_Method
ORD-10001,2024-11-23,CUST-9935,Margaret Matthews,North,Home Office,Technology,Laptops,Laptops Product 55,3720.67,37.96,3,0.0,9.61,Credit Card
ORD-10002,2024-04-21,CUST-4611,Elizabeth Gonzales,West,Home Office,Technology,Accessories,Accessories Product 36,3029.99,462.26,9,0.15,122.37,Credit Card
ORD-10003,2025-01-23,CUST-2674,Barbara Richardson,North,Corporate,Technology,Accessories,Accessories Product 13,2141.94,53.64,4,0.1,57.05,PayPal
ORD-10004,2024-11-05,CUST-5803,Michelle Conley,East,Home Office,Furniture,Chairs,Chairs Product 25,3662.17,517.47,7,0.0,107.16,Credit Card
ORD-10005,2024-12-04,CUST-5554,Justin Underwood,West,Home Office,Technology,Phones,Phones Product 47,4926.85,1403.62,2,0.15,28.58,PayPal
ORD-10006,2024-04-17,CUST-3803,Joseph Jones,South,Consumer,Office Supplies,Binders,Binders Product 60,3524.01,731.57,2,0.2,60.02,UPI
ORD-10007,2024-12-16,CUST-5386,Christopher Jenkins,North,Consumer,Furniture,Chairs,Chairs Product 73,1183.79,-101.28,6,0.15,132.07,PayPal
ORD-10008,2024-04-18,CUST-5339,Robert Powell,South,Consumer,Office Supplies,Binders,Binders Product 96,2008.38,625.7,8,0.05,86.4,PayPal
ORD-10009,2025-01-17,CUST-9348,Aaron Rollins,West,Consumer,Office Supplies,Binders,Binders Product 97,4494.22,358.33,4,0.05,11.83,Credit Card
ORD-10010,2024-03-19,CUST-7252,Tiffany Hayes,West,Home Office,Office Supplies,Paper,Paper Product 33,3970.79,357.26,2,0.15,145.81,Credit Card
ORD-10011,2024-12-14,CUST-2827,Tiffany Williams,East,Corporate,Office Supplies,Paper,Paper Product 21,3424.47,485.03,5,0.1,70.79,PayPal
ORD-10012,2025-05-12,CUST-4258,Jeremy Woods,South,Corporate,Office Supplies,Paper,Paper Product 98,2563.02,-133.57,5,0.2,28.42,Credit Card
ORD-10013,2024-11-02,CUST-1949,Meagan Arnold,South,Home Office,Furniture,Tables,Tables Product 11,146.41,46.57,5,0.05,17.42,Bank Transfer
ORD-10014,2025-02-21,CUST-3705,Michelle Welch,East,Home Office,Technology,Accessories,Accessories Product 78,3840.88,-162.18,8,0.2,66.36,UPI
ORD-10015,2025-04-20,CUST-8177,Shari Jackson,West,Consumer,Office Supplies,Art,Art Product 32,3464.84,765.13,7,0.1,37.58,PayPal
ORD-10016,2024-01-11,CUST-4750,Kevin Lang,North,Consumer,Office Supplies,Art,Art Product 43,1189.07,-1.07,2,0.0,15.27,UPI
ORD-10017,2024-05-22,CUST-8744,James Perry,South,Corporate,Office Supplies,Binders,Binders Product 53,1110.47,-44.93,10,0.2,32.61,Credit Card
ORD-10018,2024-12-03,CUST-1993,James Padilla,West,Home Office,Furniture,Tables,Tables Product 44,2146.71,236.48,1,0.0,121.09,Credit Card
ORD-10019,2024-05-07,CUST-8579,John Rice,South,Consumer,Technology,Laptops,Laptops Product 57,2704.61,-99.85,3,0.1,122.16,Credit Card
ORD-10020,2024-01-26,CUST-7658,Olivia Burgess,West,Corporate,Office Supplies,Art,Art Product 28,4188.34,1407.48,4,0.05,130.37,Credit Card
ORD-10021,2024-03-25,CUST-7930,Eric Porter,West,Consumer,Furniture,Chairs,Chairs Product 25,4927.28,95.3,8,0.1,48.02,Credit Card
ORD-10022,2024-10-23,CUST-8811,Robert Dean,South,Consumer,Office Supplies,Art,Art Product 66,351.74,14.46,1,0.2,16.62,UPI
ORD-10023,2024-02-05,CUST-5033,Steven Hernandez,North,Home Office,Office Supplies,Paper,Paper Product 11,3392.3,19.82,2,0.2,65.79,PayPal
ORD-10024,2025-04-23,CUST-3144,Barbara Schmidt,East,Corporate,Furniture,Chairs,Chairs Product 41,3365.14,139.26,5,0.15,139.71,Credit Card
ORD-10025,2024-01-05,CUST-4492,Erin Watson,East,Consumer,Furniture,Storage,Storage Product 45,4992.35,1738.55,2,0.2,132.73,UPI
ORD-10026,2024-07-08,CUST-9666,Kimberly Mcdowell,North,Home Office,Furniture,Chairs,Chairs Product 71,2219.01,320.53,5,0.2,48.41,Credit Card
ORD-10027,2025-04-25,CUST-5462,Michael Martin,East,Home Office,Technology,Phones,Phones Product 27,621.37,-32.21,9,0.05,109.05,UPI
ORD-10028,2024-12-17,CUST-7939,Stephanie Meyer,East,Consumer,Office Supplies,Binders,Binders Product 1,2551.77,33.18,1,0.0,53.37,UPI
ORD-10029,2024-11-22,CUST-1158,Kyle Rodriguez,North,Consumer,Furniture,Chairs,Chairs Product 89,3719.09,551.38,7,0.2,136.07,Credit Card
ORD-10030,2025-03-03,CUST-6974,Maria Taylor,North,Corporate,Furniture,Storage,Storage Product 27,2785.0,260.13,1,0.1,103.9,Credit Card
ORD-10031,2024-06-30,CUST-3900,Darrell Davis,West,Consumer,Office Supplies,Binders,Binders Product 23,4870.49,1155.6,4,0.05,111.8,PayPal
ORD-10032,2025-02-04,CUST-2771,Jennifer Carrillo,West,Consumer,Furniture,Storage,Storage Product 61,4327.12,1145.98,5,0.05,37.25,Bank Transfer
ORD-10033,2024-06-28,CUST-5564,Keith Contreras,North,Corporate,Furniture,Chairs,Chairs Product 45,1153.47,227.25,7,0.1,98.01,Bank Transfer
ORD-10034,2024-12-13,CUST-5349,Maria Jackson MD,North,Consumer,Office Supplies,Binders,Binders Product 77,4699.22,-226.01,5,0.05,68.01,PayPal
ORD-10035,2024-08-11,CUST-1727,Dakota Bailey,West,Consumer,Office Supplies,Art,Art Product 67,622.45,189.71,4,0.1,139.21,UPI
ORD-10036,2024-07-05,CUST-3041,Timothy Powell,East,Home Office,Furniture,Chairs,Chairs Product 40,4746.93,1492.18,10,0.1,101.7,PayPal
ORD-10037,2024-07-25,CUST-5930,Riley Hughes,West,Home Office,Office Supplies,Binders,Binders Product 1,2794.34,-38.2,7,0.05,49.06,UPI
ORD-10038,2024-08-08,CUST-9375,Kayla Rasmussen,West,Home Office,Office Supplies,Art,Art Product 22,3290.79,359.5,8,0.05,100.53,PayPal
ORD-10039,2024-09-20,CUST-4680,Catherine Delgado,South,Consumer,Office Supplies,Art,Art Product 4,3115.34,-180.61,4,0.1,11.7,Bank Transfer
ORD-10040,2024-11-08,CUST-9099,Stephen Nguyen,West,Consumer,Technology,Phones,Phones Product 19,2101.48,385.4,4,0.15,100.13,Credit Card
ORD-10041,2025-04-02,CUST-1822,David Bryan,South,Consumer,Technology,Phones,Phones Product 59,1133.26,296.74,9,0.15,24.33,Bank Transfer
ORD-10042,2024-12-07,CUST-9270,Michelle Valencia,West,Home Office,Office Supplies,Art,Art Product 58,2997.49,981.73,8,0.2,135.1,Bank Transfer
ORD-10043,2024-08-18,CUST-4919,Virginia Hayes,East,Corporate,Furniture,Chairs,Chairs Product 10,4207.32,104.3,9,0.15,108.46,UPI
ORD-10044,2024-05-19,CUST-7275,Angela Mclaughlin,South,Home Office,Furniture,Tables,Tables Product 28,4470.48,-284.95,3,0.05,14.31,Bank Transfer
ORD-10045,2024-06-18,CUST-1320,Nicole Avila,West,Corporate,Office Supplies,Binders,Binders Product 1,2108.08,-14.6,7,0.15,141.7,PayPal
ORD-10046,2025-01-20,CUST-8999,Hannah Hendricks,South,Corporate,Furniture,Tables,Tables Product 56,2714.19,625.85,10,0.05,75.42,Bank Transfer
ORD-10047,2024-06-21,CUST-9751,Mark Preston,North,Corporate,Office Supplies,Art,Art Product 76,4000.8,903.71,8,0.05,86.84,Credit Card
